rank,ticker,name,sector,industry,category,mcap_B,current_price,entry_level,fundamental,technical,visibility,corr_penalty,corr_status,leverage_penalty,lev_status,nd_ebitda,dte_pct,broken_base,composite,fwd_pe,fcf_yield_pct,rev_growth_pct,gross_margin_pct,roe_pct,rsi,ma200_dist_pct,rel_str_6m_pct,portfolio_corr,max_corr,max_corr_with,corr_null_reason,n_corr_obs,technical_precap,visibility_legacy,data_flags,in_portfolio
1,VRT,"Vertiv Holdings, LLC",Industrials,Electrical Equipment & Parts,Compounder,107.0,277.94,302.61,20.5,19.9,20.0,0.0,ok,-0.5,de_fallback,,70.2,False,59.9,30.6,2.5,24.1,38.0,43.9,45.0,12.2,40.1,0.351,0.488,AVGO,,126,19.9,20.0,,False
2,TSM,Taiwan Semiconductor Manufactu,Technology,Semiconductors,Growth,2147.2,414.0,425.57,24.0,16.1,21.0,-2.0,ok,0.0,de_fallback,,15.2,False,59.1,19.2,,36.0,64.2,40.0,51.6,15.7,15.5,0.589,0.667,NVDA,,126,16.1,21.0,fcf_yield_out_of_range(34.4),False
3,GEV,GE Vernova Inc.,Industrials,Specialty Industrial Machinery,Compounder,271.1,1017.96,1023.39,19.0,16.7,23.0,0.0,ok,0.0,de_fallback,,28.4,False,58.7,40.9,5.8,21.9,20.6,82.6,47.9,20.9,24.4,0.426,0.492,AVGO,,126,16.7,23.0,,False
4,AVGO,Broadcom Inc.,Technology,Semiconductors,Growth,1990.0,418.28,397.37,20.0,15.1,22.0,0.0,ok,-0.5,de_fallback,,74.0,False,56.6,21.5,1.4,47.9,76.3,37.3,70.5,14.3,24.1,0.427,0.528,NVDA,,126,15.1,22.0,,True
5,NVDA,NVIDIA Corporation,Technology,Semiconductors,Growth,5309.7,219.22,208.26,20.0,15.7,20.0,-2.0,ok,0.0,de_fallback,,6.6,False,53.7,17.0,0.9,85.2,74.1,114.3,58.9,13.3,13.8,0.569,0.528,AVGO,,126,15.7,20.0,,True
6,GOOG,Alphabet Inc.,Communication Services,Internet Content & Information,Compounder,4404.4,360.13,355.87,19.0,14.3,20.0,0.0,ok,0.0,de_fallback,,18.9,False,53.3,24.4,0.5,24.2,60.9,48.7,52.6,10.1,-4.0,0.315,0.284,BMNR,,126,14.3,20.0,,True
7,META,"Meta Platforms, Inc.",Communication Services,Internet Content & Information,Core,1499.9,588.77,600.91,18.0,17.8,17.0,0.0,ok,0.0,de_fallback,,43.0,False,52.8,16.8,1.4,28.0,81.7,29.8,28.9,-6.8,-24.1,0.395,0.397,GOOG,,126,17.8,15.0,,False
8,TLN,Talen Energy Corporation,Utilities,Utilities - Independent Power ,Growth,15.8,329.84,374.85,19.0,19.8,19.0,0.0,ok,-5.0,de_fallback,,635.4,False,52.8,11.6,8.8,96.7,40.1,-1.9,36.4,-9.7,-8.2,0.382,0.402,AVGO,,126,19.8,19.0,,False
9,CEG,Constellation Energy Corporati,Utilities,Utilities - Independent Power ,Growth,94.7,265.12,262.1,14.0,17.7,21.0,0.0,ok,-0.5,de_fallback,,66.4,False,52.2,19.9,-4.7,63.8,23.3,16.1,59.9,-13.2,-6.1,0.254,0.294,BMNR,,126,17.7,21.0,,False
10,POWL,"Powell Industries, Inc.",Industrials,Electrical Equipment & Parts,Speculative,7.6,208.33,260.34,15.5,18.3,18.0,0.0,ok,,unavailable,,,False,51.8,30.7,,8.9,30.1,28.3,39.5,8.4,6.4,0.325,0.405,AVGO,,126,18.3,18.0,,False
